Time resolution is 1 ps
Time = 0 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 4000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 8000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 12000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 16000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 20000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 24000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 28000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 32000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 36000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 40000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 44000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 48000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 52000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 56000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 60000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 64000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 68000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 72000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 76000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 80000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 84000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 88000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 92000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 96000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 100000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 104000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 108000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 112000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 116000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 120000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 124000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 128000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 132000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 136000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 140000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 144000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 148000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 152000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 156000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 160000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 164000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 168000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 172000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 176000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 180000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 184000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 188000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 192000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 196000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 200000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 204000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 208000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 212000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 216000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 220000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 224000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 228000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 232000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 236000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 240000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 244000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 248000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 252000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 256000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 260000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 264000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 268000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 272000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 276000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 280000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 284000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 288000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 292000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 296000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 300000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 304000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 308000 | clk_in = 1 | clk1 = 1 | clk2 = 0
