Time resolution is 1 ps
timer = 0, clk_divided = x, clk1 = x, clk2 = x, execute_instruction_flag = x, stop = x, pc_out = xxxxx, LorEinstr = x, LoIorO = x, opcode_test = xxx, memory_out = xxxxxxxx, data_out = xxxxxxxxx

timer = 0, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 1, LoIorO = 1, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 2000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 1, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 3000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 1, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 4000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11111110, data_out = 100000000

timer = 5000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11111110, data_out = 100000000

timer = 6000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11111110, data_out = 100000000

timer = 7000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11111110, data_out = 100000000

timer = 8000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 00000, LorEinstr = 1, LoIorO = 0, opcode_test = 111, memory_out = 11111110, data_out = 100000000

